sampleID,expCat,lifeStage,tissue,condition,stressorLevel,bioprojectID,sePE,selection,numberBases,illuminaInstrument,contrastID,contrastCondition
SRR334300,heavy_metal,Adult,digestive_gland,Cd,100ug/L_12h,PRJNA146329,SE,cDNA,686.4M,2000,SRR334313,Adult_DG_control
SRR334301,heavy_metal,Adult,digestive_gland,Zinc_Cd,Zn_500ë_g/L_Cd_50ë_g/L_12h,PRJNA146329,SE,cDNA,Ê725.9M,2000,SRR334313,Adult_DG_control
SRR334302,heavy_metal,Adult,gills,Plumbum,500ug/L_9d,PRJNA146329,SE,cDNA,779.3MÊ,2000,SRR334312,Adult_gills_control
SRR334303,heavy_metal,Adult,gills,Cu,100ug/L_9d,PRJNA146329,SE,cDNA,911.5M,2000,SRR334312,Adult_gills_control
SRR334304,heavy_metal,Adult,gills,Hydrargyrum,100ug/L_9d,PRJNA146329,SE,cDNA,918.4MÊ,2000,SRR334312,Adult_gills_control
SRR334305,heavy_metal,Adult,digestive_gland,Plumbum,500ug/L_9d,PRJNA146329,SE,cDNA,750M,2000,SRR334313,Adult_DG_control
SRR334306,heavy_metal,Adult,digestive_gland,Cu,100ug/L_9d,PRJNA146329,SE,cDNA,Ê766.8M,2000,SRR334313,Adult_DG_control
SRR334307,heavy_metal,Adult,digestive_gland,Hydrargyrum,100ug/L_9d,PRJNA146329,SE,cDNA,903.9M,2000,SRR334313,Adult_DG_control
SRR334308,heavy_metal,Adult,gills,Cd,100ug/L_9d,PRJNA146329,SE,cDNA,Ê824.9MÊ,2000,SRR334312,Adult_gills_control
SRR334309,heavy_metal,Adult,gills,Zinc_Cd,Zn_500ë_g/L_Cd_50ë_g/L_9d,PRJNA146329,SE,cDNA,777.3M,2000,SRR334312,Adult_gills_control
SRR334310,heavy_metal,Adult,digestive_gland,Cd,100ug/L_9d,PRJNA146329,SE,cDNA,Ê753.9M,2000,SRR334313,Adult_DG_control
SRR334311,heavy_metal,Adult,digestive_gland,Zinc_Cd,Zn_500ë_g/L_Cd_50ë_g/L_9d,PRJNA146329,SE,cDNA,802.5M,2000,SRR334313,Adult_DG_control
SRR334312,heavy_metal,Adult,gills,Adult_gills_control,control,PRJNA146329,SE,cDNA,Ê841.2M,2000,control,control
SRR334313,heavy_metal,Adult,digestive_gland,Adult_DG_control,control,PRJNA146329,SE,cDNA,861.2M,2000,control,control
SRR334314,heavy_metal,Adult,digestive_gland,Zinc,1mg/L_12h,PRJNA146329,SE,cDNA,795.2M,2000,SRR334313,Adult_DG_control
SRR334315,heavy_metal,Adult,digestive_gland,Zinc,1mg/L_5d,PRJNA146329,SE,cDNA,799.9M,2000,SRR334313,Adult_DG_control
SRR334316,heavy_metal,Adult,digestive_gland,Zinc,1mg/L_7d,PRJNA146329,SE,cDNA,Ê854.9M,2000,SRR334313,Adult_DG_control
SRR334317,heavy_metal,Adult,digestive_gland,Zinc,1mg/L_9d,PRJNA146329,SE,cDNA,759.1M,2000,SRR334313,Adult_DG_control
SRR334318,heavy_metal,Adult,digestive_gland,Zinc,1mg/L_13d,PRJNA146329,SE,cDNA,812M,2000,SRR334313,Adult_DG_control
SRR334319,heavy_metal,Adult,gills,Zinc,1mg/L_5d,PRJNA146329,SE,cDNA,800.9M,2000,SRR334313,Adult_DG_control
SRR334320,heavy_metal,Adult,gills,Zinc,1mg/L_7d,PRJNA146329,SE,cDNA,799.9M,2000,SRR334312,Adult_gills_control
SRR334321,heavy_metal,Adult,gills,Zinc,1mg/L_9d,PRJNA146329,SE,cDNA,734.6M,2000,SRR334312,Adult_gills_control
SRR334322 ,heavy_metal,Adult,gills,Zinc,1mg/L_13d,PRJNA146329,SE,cDNA,801.3M,2000,SRR334312,Adult_gills_control
SRR796589,bac_control,Adult,pooled,bac_challenge_control,control,PRJNA194084Ê,SE,RANDOM PCR,734.4M,Genome_Analyzer,control,control
SRR796592,gram_neg,Adult,pooled,LPS,LPS,PRJNA194084Ê,SE,RANDOM PCR,666.9M,Genome_Analyzer,SRR960964,Adult_control
SRR796593,gram_neg,Adult,pooled,gram_negative,V. aes,PRJNA194084Ê,SE,RANDOM PCR,Ê763.9M,Genome_Analyzer,SRR960964,Adult_control
SRR796594,gram_neg,Adult,pooled,gram_negative,V. ang,PRJNA194084Ê,SE,RANDOM PCR,738.6M,Genome_Analyzer,SRR960964,Adult_control
SRR796595,gram_neg,Adult,pooled,gram_negative,V. alg 1,PRJNA194084Ê,SE,RANDOM PCR,725.1M,Genome_Analyzer,SRR960964,Adult_control
SRR796596,gram_neg,Adult,pooled,gram_negative,V. alg 2,PRJNA194084Ê,SE,RANDOM PCR,743.5M,Genome_Analyzer,SRR960964,Adult_control
SRR796597,gram_neg,Adult,pooled,gram_negative,V. tub,PRJNA194084Ê,SE,RANDOM PCR,Ê660.2M,Genome_Analyzer,SRR960964,Adult_control
SRR796598,gram_pos,Adult,pooled,gram_pos_bac,M. lut,PRJNA194084Ê,SE,RANDOM PCR,768.2M,Genome_Analyzer,SRR960964,Adult_control
SRR960964,acidified,Larvae,NA,low_ph_control,control,PRJNA217698Ê,SE,RT-PCR,701.6M,2000,control,control
SRR967068_1,acidified,Larvae,NA,low_ph,low_ph,PRJNA217698Ê,PE,RT-PCR,1.6G,2000,SRR960964,Larvae_low_pH_control
