Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (GO)
K1PGW6,K1PGW6_CRAGI,unreviewed,"Alpha-(1,3)-fucosyltransferase 10",CGI_10015586,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),526,Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; fucosyltransferase activity [GO:0008417]; protein glycosylation [GO:0006486]
K1QUL5,K1QUL5_CRAGI,unreviewed,ATR-interacting protein,CGI_10014289,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1230,DNA damage checkpoint [GO:0000077]
K1Q5D4,K1Q5D4_CRAGI,unreviewed,Uncharacterized protein,CGI_10015196,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),553,
K1QXC0,K1QXC0_CRAGI,unreviewed,Exonuclease 3'-5' domain-containing protein 1,CGI_10021786,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1024,3'-5' exonuclease activity [GO:0008408]; nucleic acid binding [GO:0003676]
K1QPJ7,K1QPJ7_CRAGI,unreviewed,Uncharacterized protein,CGI_10011010,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),610,
K1RWK1,K1RWK1_CRAGI,unreviewed,Protein bicaudal C,CGI_10017029,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),591,
K1PKJ2,K1PKJ2_CRAGI,unreviewed,Tripartite motif-containing protein 3,CGI_10002694,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),376,
K1PY47,K1PY47_CRAGI,unreviewed,Uncharacterized protein,CGI_10003874,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1353,
K1PWP6,K1PWP6_CRAGI,unreviewed,Ca(2+)/calmodulin-responsive adenylate cyclase,CGI_10010256,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1334,integral component of membrane [GO:0016021]; intracellular [GO:0005622]; nucleotide binding [GO:0000166]; phosphorus-oxygen lyase activity [GO:0016849]; cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]
K1PF23,K1PF23_CRAGI,unreviewed,GDNF-inducible zinc finger protein 1,CGI_10006550,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),817,nucleic acid binding [GO:0003676]
K1PHY3,K1PHY3_CRAGI,unreviewed,Amiloride-sensitive cation channel 4-B,CGI_10012120,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),678,integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]
K1PJ99,K1PJ99_CRAGI,unreviewed,Uncharacterized protein,CGI_10026286,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1139,DNA binding [GO:0003677]
K1RWG2,K1RWG2_CRAGI,unreviewed,Proton-coupled amino acid transporter 4,CGI_10012622,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),528,integral component of membrane [GO:0016021]
K1QA83,K1QA83_CRAGI,unreviewed,Uncharacterized protein,CGI_10012394,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),952,
K1PG14,K1PG14_CRAGI,unreviewed,Voltage-gated hydrogen channel 1,CGI_10001369,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),844,
K1QL31,K1QL31_CRAGI,unreviewed,cGMP-dependent protein kinase (EC 2.7.11.12),CGI_10018112,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),760,ATP binding [GO:0005524]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]
K1RDJ9,K1RDJ9_CRAGI,unreviewed,Sphingosine 1-phosphate receptor 1,CGI_10022192,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),541,integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930]
K1QKA1,K1QKA1_CRAGI,unreviewed,Hairy/enhancer-of-split related with YRPW motif protein 1,CGI_10018323,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),300,"nucleus [GO:0005634]; DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"
K1S0A7,K1S0A7_CRAGI,unreviewed,Deleted in malignant brain tumors 1 protein,CGI_10020579,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2454,membrane [GO:0016020]; hydrolase activity [GO:0016787]; scavenger receptor activity [GO:0005044]
K1QR29,K1QR29_CRAGI,unreviewed,Tripartite motif-containing protein 71,CGI_10019207,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),708,intracellular [GO:0005622]; miRNA binding [GO:0035198]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; miRNA mediated inhibition of translation [GO:0035278]
K1QWP3,K1QWP3_CRAGI,unreviewed,Small conductance calcium-activated potassium channel protein,CGI_10011874,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),509,voltage-gated potassium channel complex [GO:0008076]; calmodulin binding [GO:0005516]; small conductance calcium-activated potassium channel activity [GO:0016286]; voltage-gated potassium channel activity [GO:0005249]
K1QQ64,K1QQ64_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10011933,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),703,
K1R4D2,K1R4D2_CRAGI,unreviewed,Polycystic kidney disease protein 1-like 2,CGI_10021757,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2087,integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]
K1PDA4,K1PDA4_CRAGI,unreviewed,Collagen alpha-4(VI) chain,CGI_10008455,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),3364,collagen trimer [GO:0005581]
K1PKE0,K1PKE0_CRAGI,unreviewed,Virulence metalloprotease,CGI_10008767,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),624,metalloendopeptidase activity [GO:0004222]
K1Q7S5,K1Q7S5_CRAGI,unreviewed,Uncharacterized protein,CGI_10021494,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),824,
K1S0M8,K1S0M8_CRAGI,unreviewed,Toll-like receptor 2,CGI_10026493,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),427,signal transduction [GO:0007165]
K1PGI1,K1PGI1_CRAGI,unreviewed,Sterile alpha and TIR motif-containing protein 1,CGI_10016757,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),494,
K1PND0,K1PND0_CRAGI,unreviewed,Uncharacterized protein,CGI_10016758,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),513,metallopeptidase activity [GO:0008237]
K1QJC8,K1QJC8_CRAGI,unreviewed,Bardet-Biedl syndrome 5-like protein,CGI_10027052,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),116,BBSome [GO:0034464]
K1RW41,K1RW41_CRAGI,unreviewed,Uncharacterized protein,CGI_10018526,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),435,
K1QJT7,K1QJT7_CRAGI,unreviewed,Protein ovo,CGI_10003042,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),705,"nucleus [GO:0005634]; nucleic acid binding [GO:0003676]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription, DNA-templated [GO:0006351]"
K1RN53,K1RN53_CRAGI,unreviewed,Cyclic nucleotide-gated cation channel alpha-3,CGI_10019102,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),485,integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]
K1RIK7,K1RIK7_CRAGI,unreviewed,Uncharacterized protein,CGI_10017536,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),837,
K1RBS4,K1RBS4_CRAGI,unreviewed,Tripartite motif-containing protein 3,CGI_10027642,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),618,intracellular [GO:0005622]; zinc ion binding [GO:0008270]
K1R147,K1R147_CRAGI,unreviewed,Leucine-rich repeat-containing protein 15,CGI_10017217,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),480,integral component of membrane [GO:0016021]
K1PPK4,K1PPK4_CRAGI,unreviewed,Uncharacterized protein,CGI_10023376,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1507,nucleic acid binding [GO:0003676]
K1QA60,K1QA60_CRAGI,unreviewed,DNA polymerase theta,CGI_10013103,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2674,ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA-dependent DNA replication [GO:0006261]
K1QE13,K1QE13_CRAGI,unreviewed,Uncharacterized protein,CGI_10007715,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),416,
K1Q8I7,K1Q8I7_CRAGI,unreviewed,Uncharacterized protein,CGI_10024515,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),520,
K1PG12,K1PG12_CRAGI,unreviewed,Uncharacterized protein,CGI_10005858,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),354,
K1QXH5,K1QXH5_CRAGI,unreviewed,Leucine-rich repeat-containing G-protein coupled receptor 5,CGI_10024120,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1263,integral component of membrane [GO:0016021]; protein-hormone receptor activity [GO:0016500]
K1PU20,K1PU20_CRAGI,unreviewed,Acetylcholine receptor subunit beta-like 1,CGI_10012301,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),432,integral component of membrane [GO:0016021]; extracellular ligand-gated ion channel activity [GO:0005230]
K1QRA6,K1QRA6_CRAGI,unreviewed,Monocarboxylate transporter 14,CGI_10026273,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),499,integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]
K1QA78,K1QA78_CRAGI,unreviewed,DNA polymerase epsilon catalytic subunit A,CGI_10012389,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1004,epsilon DNA polymerase complex [GO:0008622]; 3'-5' exonuclease activity [GO:0008408]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA repair [GO:0006281]; DNA replication [GO:0006260]
K1QYX0,K1QYX0_CRAGI,unreviewed,Kyphoscoliosis peptidase,CGI_10028268,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),586,
K1Q4V4,K1Q4V4_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10011995,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),616,intracellular [GO:0005622]; zinc ion binding [GO:0008270]
K1QCH3,K1QCH3_CRAGI,unreviewed,XK-related protein,CGI_10008949,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1201,integral component of membrane [GO:0016021]
K1Q3X7,K1Q3X7_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10007961,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),543,intracellular [GO:0005622]; zinc ion binding [GO:0008270]
K1RPE5,K1RPE5_CRAGI,unreviewed,Uncharacterized protein,CGI_10010993,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),317,nucleic acid binding [GO:0003676]
K1PS37,K1PS37_CRAGI,unreviewed,Adenylate cyclase type 1,CGI_10003542,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2024,integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; adenylate cyclase activity [GO:0004016]; nucleotide binding [GO:0000166]; intracellular signal transduction [GO:0035556]
K1QFZ4,K1QFZ4_CRAGI,unreviewed,Proto-oncogene tyrosine-protein kinase receptor ret,CGI_10015664,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1114,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; protein tyrosine kinase activity [GO:0004713]; cell adhesion [GO:0007155]
K1Q9W2,K1Q9W2_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10016289,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),483,
K1QRV0,K1QRV0_CRAGI,unreviewed,F-box only protein 41,CGI_10018505,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1019,
K1QMK6,K1QMK6_CRAGI,unreviewed,Collagen alpha-4(VI) chain,CGI_10001323,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),652,collagen trimer [GO:0005581]; calcium ion binding [GO:0005509]
K1QWE0,K1QWE0_CRAGI,unreviewed,Uncharacterized protein,CGI_10017065,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),246,
K1QI15,K1QI15_CRAGI,unreviewed,Uncharacterized protein,CGI_10004204,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),419,
K1S2W3,K1S2W3_CRAGI,unreviewed,Transient receptor potential-gamma protein,CGI_10028437,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),827,integral component of membrane [GO:0016021]; calcium channel activity [GO:0005262]
K1RH63,K1RH63_CRAGI,unreviewed,GTPase IMAP family member 4,CGI_10026503,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),453,GTP binding [GO:0005525]
K1PNS1,K1PNS1_CRAGI,unreviewed,Glucosylceramidase (EC 3.2.1.45),CGI_10005972,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),656,glucosylceramidase activity [GO:0004348]; sphingolipid metabolic process [GO:0006665]
K1QIV2,K1QIV2_CRAGI,unreviewed,Cubilin,CGI_10020737,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),872,integral component of membrane [GO:0016021]
K1PX82,K1PX82_CRAGI,unreviewed,Aplysianin-A,CGI_10015069,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),374,
K1PVC6,K1PVC6_CRAGI,unreviewed,Protein hunchback,CGI_10006466,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),958,"nucleus [GO:0005634]; nucleic acid binding [GO:0003676]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; regulation of development, heterochronic [GO:0040034]; transcription, DNA-templated [GO:0006351]"
K1QX13,K1QX13_CRAGI,unreviewed,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,CGI_10021997,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),857,integral component of membrane [GO:0016021]; voltage-gated potassium channel activity [GO:0005249]
K1QL01,K1QL01_CRAGI,unreviewed,Tripartite motif-containing protein 45,CGI_10016277,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),589,intracellular [GO:0005622]; zinc ion binding [GO:0008270]
K1R3H4,K1R3H4_CRAGI,unreviewed,Tudor domain-containing protein 1,CGI_10003862,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1577,metal ion binding [GO:0046872]
K1PUS8,K1PUS8_CRAGI,unreviewed,Location of vulva defective 1,CGI_10007022,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),3491,integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]
K1PEG1,K1PEG1_CRAGI,unreviewed,Uncharacterized protein,CGI_10002502,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),406,intracellular [GO:0005622]; intracellular signal transduction [GO:0035556]
K1RH48,K1RH48_CRAGI,unreviewed,Breast cancer type 2 susceptibility-like protein,CGI_10015527,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2601,double-strand break repair via homologous recombination [GO:0000724]
K1QP11,K1QP11_CRAGI,unreviewed,Uncharacterized protein C3orf59-like protein,CGI_10025969,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),688,
K1Q8V8,K1Q8V8_CRAGI,unreviewed,Uncharacterized protein,CGI_10016451,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),484,signal transduction [GO:0007165]
K1R862,K1R862_CRAGI,unreviewed,ATM interactor,CGI_10023857,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),694,nucleic acid binding [GO:0003676]
K1Q130,K1Q130_CRAGI,unreviewed,Uncharacterized protein,CGI_10021982,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1500,
K1R173,K1R173_CRAGI,unreviewed,Uncharacterized protein,CGI_10018600,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),400,
K1QNP0,K1QNP0_CRAGI,unreviewed,Multidrug resistance-associated protein 7,CGI_10016527,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1043,"integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]"
K1QJ56,K1QJ56_CRAGI,unreviewed,Putative E3 ubiquitin-protein ligase HERC1,CGI_10003589,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),826,ligase activity [GO:0016874]
K1Q5X8,K1Q5X8_CRAGI,unreviewed,Ankyrin-1,CGI_10008542,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1303,integral component of membrane [GO:0016021]
K1S2E4,K1S2E4_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10009417,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),409,
K1QZG3,K1QZG3_CRAGI,unreviewed,A disintegrin and metalloproteinase with thrombospondin motifs 16,CGI_10002775,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1007,metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; integrin-mediated signaling pathway [GO:0007229]
K1QQ70,K1QQ70_CRAGI,unreviewed,Protocadherin-11 X-linked,CGI_10009301,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1038,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
K1PEK7,K1PEK7_CRAGI,unreviewed,Monocarboxylate transporter 9,CGI_10002441,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),577,integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]
