Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (GO),Ensembl_Genomes_Transcript
K1QT36,K1QT36_CRAGI,unreviewed,Golgi resident protein GCP60,CGI_10013441,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),549,integral component of membrane [GO:0016021]; fatty-acyl-CoA binding [GO:0000062]; transport [GO:0006810],EKC32075
K1R0U1,K1R0U1_CRAGI,unreviewed,Glycolipid transfer protein domain-containing protein 1,CGI_10026016,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),207,cytoplasm [GO:0005737]; glycolipid binding [GO:0051861]; glycolipid transporter activity [GO:0017089],EKC37029
K1RCF4,K1RCF4_CRAGI,unreviewed,Translocon-associated protein subunit alpha,CGI_10011866,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),281,endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021],EKC41344
K1PPU8,K1PPU8_CRAGI,unreviewed,Neurogenic locus Notch protein,CGI_10013186,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2536,integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell differentiation [GO:0030154]; Notch signaling pathway [GO:0007219]; regulation of developmental process [GO:0050793],EKC23623
K1RB28,K1RB28_CRAGI,unreviewed,Krueppel-like factor 11,CGI_10004830,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),847,nucleic acid binding [GO:0003676],EKC40859
K1Q6E8,K1Q6E8_CRAGI,unreviewed,Heat shock 70 kDa protein 12B,CGI_10017947,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),595,,EKC26864
K1PNI6,K1PNI6_CRAGI,unreviewed,Heterogeneous nuclear ribonucleoprotein A/B,CGI_10020922,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),475,intracellular ribonucleoprotein complex [GO:0030529]; viral nucleocapsid [GO:0019013]; RNA binding [GO:0003723],EKC23243
K1RY97,K1RY97_CRAGI,unreviewed,Uncharacterized protein,CGI_10026992,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),332,integral component of membrane [GO:0016021],EKC39981
K1PU25,K1PU25_CRAGI,unreviewed,Uncharacterized protein,CGI_10002332,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),927,,EKC22414
K1RGP8,K1RGP8_CRAGI,unreviewed,Serine/threonine-protein kinase CTR1,CGI_10014307,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),499,ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674],EKC33316
K1RQE4,K1RQE4_CRAGI,unreviewed,Zinc finger MYND domain-containing protein 11,CGI_10004289,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),647,metal ion binding [GO:0046872],EKC36551
K1RBN1,K1RBN1_CRAGI,unreviewed,Fas-binding factor 1,CGI_10021163,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1323,ciliary transition fiber [GO:0097539]; cilium assembly [GO:0060271]; establishment of epithelial cell polarity [GO:0090162],EKC43148
K1QY73,K1QY73_CRAGI,unreviewed,Baculoviral IAP repeat-containing protein 7-A,CGI_10020879,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),360,,EKC38618
K1REH2,K1REH2_CRAGI,unreviewed,Serine/threonine-protein kinase TAO1,CGI_10024640,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),895,ATP binding [GO:0005524]; protein kinase activity [GO:0004672],EKC42139
K1R7K4,K1R7K4_CRAGI,unreviewed,N-acetylserotonin O-methyltransferase-like protein,CGI_10021633,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),410,O-methyltransferase activity [GO:0008171],EKC41768
K1R9B8,K1R9B8_CRAGI,unreviewed,Uncharacterized protein,CGI_10023537,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2063,DNA binding [GO:0003677],EKC37775
K1R098,K1R098_CRAGI,unreviewed,Serine/threonine-protein kinase phg2,CGI_10012078,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1000,ATP binding [GO:0005524]; protein kinase activity [GO:0004672],EKC27061
K1QEE6,K1QEE6_CRAGI,unreviewed,Uncharacterized protein,CGI_10008755,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),107,,EKC35277
K1QZ87,K1QZ87_CRAGI,unreviewed,Sphingosine-1-phosphate phosphatase 2,CGI_10017264,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),444,integral component of membrane [GO:0016021],EKC42382
K1Q844,K1Q844_CRAGI,unreviewed,Neurogenic locus notch-like protein 1,CGI_10018250,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),621,integral component of membrane [GO:0016021]; cell communication [GO:0007154],EKC25025
K1R0D7,K1R0D7_CRAGI,unreviewed,Eukaryotic translation initiation factor 3 subunit M (Fragment),CGI_10027107,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),373,eukaryotic translation initiation factor 3 complex [GO:0005852]; translation initiation factor activity [GO:0003743],EKC36914
K1RWI3,K1RWI3_CRAGI,unreviewed,Calpain-5,CGI_10006438,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),636,intracellular [GO:0005622]; calcium-dependent cysteine-type endopeptidase activity [GO:0004198],EKC39241
K1Q3F8,K1Q3F8_CRAGI,unreviewed,Uncharacterized protein,CGI_10019623,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),791,DNA binding [GO:0003677],EKC23405
K1PBC0,K1PBC0_CRAGI,unreviewed,Non-neuronal cytoplasmic intermediate filament protein,CGI_10010873,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),618,intermediate filament [GO:0005882]; structural molecule activity [GO:0005198],EKC18758
K1PSE7,K1PSE7_CRAGI,unreviewed,Outer dense fiber protein 3,CGI_10008688,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),252,,EKC19365
K1QMV5,K1QMV5_CRAGI,unreviewed,Annexin,CGI_10001126,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),270,calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544],EKC22941
K1QAA8,K1QAA8_CRAGI,unreviewed,CAAX prenyl protease 1-like protein,CGI_10012540,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),457,integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]; CAAX-box protein processing [GO:0071586],EKC18431
K1RST0,K1RST0_CRAGI,unreviewed,Dopamine D2-like receptor,CGI_10026865,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),413,integral component of membrane [GO:0016021]; G-protein coupled peptide receptor activity [GO:0008528],EKC37581
K1PM85,K1PM85_CRAGI,unreviewed,Jumonji-C domain-containing protein Jumonji1b (Lysine-specific demethylase 3B),CGI_10003744,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1628,methyltransferase activity [GO:0008168],EKC25077
K1P486,K1P486_CRAGI,unreviewed,Heat shock 70 kDa protein 12A,CGI_10012117,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),584,,EKC18507
K1R3A7,K1R3A7_CRAGI,unreviewed,"Dynein light chain 2, cytoplasmic",CGI_10020305,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),137,dynein complex [GO:0030286]; microtubule-based process [GO:0007017],EKC35615
K1QBN6,K1QBN6_CRAGI,unreviewed,Caltractin,CGI_10010406,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),222,calcium ion binding [GO:0005509],EKC18931
K1Q2C5,K1Q2C5_CRAGI,unreviewed,Uncharacterized protein,CGI_10004518,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),289,integral component of membrane [GO:0016021],EKC30532
K1S5R0,K1S5R0_CRAGI,unreviewed,Protocadherin-11 X-linked,CGI_10016817,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1144,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156],EKC42706
K1Q6D6,K1Q6D6_CRAGI,unreviewed,Serine palmitoyltransferase 2,CGI_10025481,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),386,pyridoxal phosphate binding [GO:0030170]; transferase activity [GO:0016740]; biosynthetic process [GO:0009058],EKC29473
K1QSB0,K1QSB0_CRAGI,unreviewed,"Fructose-1,6-bisphosphatase 1",CGI_10006343,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),337,"fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; carbohydrate metabolic process [GO:0005975]",EKC31815
K1QQA3,K1QQA3_CRAGI,unreviewed,40S ribosomal protein S30,CGI_10003507,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),131,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],EKC39112
K1Q4J2,K1Q4J2_CRAGI,unreviewed,Active breakpoint cluster region-related protein,CGI_10007224,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1290,intracellular [GO:0005622]; GTPase activator activity [GO:0005096]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; intracellular signal transduction [GO:0035556]; regulation of Rho protein signal transduction [GO:0035023],EKC23790
K1Q9U3,K1Q9U3_CRAGI,unreviewed,FH2 domain-containing protein 1,CGI_10012193,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1741,,EKC33492
K1R3V5,K1R3V5_CRAGI,unreviewed,ADP-ribosylation factor-binding protein GGA3,CGI_10019309,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),685,clathrin adaptor complex [GO:0030131]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192],EKC38144
K1PC50,K1PC50_CRAGI,unreviewed,Uncharacterized protein,CGI_10009921,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),861,,EKC19048
K1RK54,K1RK54_CRAGI,unreviewed,Uncharacterized protein,CGI_10012952,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),211,,EKC34601
K1R8C6,K1R8C6_CRAGI,unreviewed,40S ribosomal protein S12,CGI_10028202,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),137,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],EKC42018
A9XUG1,A9XUG1_CRAGI,unreviewed,Phospholipase C (Fragment),,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),34,intracellular [GO:0005622]; phosphatidylinositol phospholipase C activity [GO:0004435]; intracellular signal transduction [GO:0035556]; lipid metabolic process [GO:0006629],EKC40084
K1R906,K1R906_CRAGI,unreviewed,Phosphoinositide phospholipase C (EC 3.1.4.11),CGI_10026114,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),589,intracellular [GO:0005622]; calcium ion binding [GO:0005509]; phosphatidylinositol phospholipase C activity [GO:0004435]; signal transducer activity [GO:0004871]; intracellular signal transduction [GO:0035556]; lipid catabolic process [GO:0016042],EKC40084
K1RMI1,K1RMI1_CRAGI,unreviewed,Receptor-type tyrosine-protein phosphatase beta,CGI_10015975,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),594,protein tyrosine phosphatase activity [GO:0004725],EKC35576
B2BR01,B2BR01_CRAGI,unreviewed,Drac3-like protein (Fragment),,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),54,GTP binding [GO:0005525]; GTPase activity [GO:0003924],EKC24479
K1PZH3,K1PZH3_CRAGI,unreviewed,Rho-related GTP-binding protein RhoJ,CGI_10019582,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),227,intracellular [GO:0005622]; membrane [GO:0016020]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; small GTPase mediated signal transduction [GO:0007264],EKC24479
K1QVL5,K1QVL5_CRAGI,unreviewed,Cdc42-like protein,CGI_10028636,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),185,membrane [GO:0016020]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal transduction [GO:0007165],EKC40917
K1PG17,K1PG17_CRAGI,unreviewed,60S ribosomal protein L21,CGI_10000147,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),160,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],EKC17829
K1RTL1,K1RTL1_CRAGI,unreviewed,Uncharacterized protein,CGI_10009705,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),749,,EKC37931
K1PL05,K1PL05_CRAGI,unreviewed,Uncharacterized protein,CGI_10008320,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),182,integral component of membrane [GO:0016021],EKC19504
K1RH28,K1RH28_CRAGI,unreviewed,Metabotropic glutamate receptor 5,CGI_10011484,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1159,integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930],EKC33441
K1RUE5,K1RUE5_CRAGI,unreviewed,Protein FAM53A,CGI_10022981,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),411,,EKC38311
K1R9A7,K1R9A7_CRAGI,unreviewed,Glycogenin-1,CGI_10023521,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),539,"transferase activity, transferring glycosyl groups [GO:0016757]",EKC37760
K1RGE5,K1RGE5_CRAGI,unreviewed,Uncharacterized protein,CGI_10007431,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),3111,,EKC40495
K1QW36,K1QW36_CRAGI,unreviewed,60S ribosomal protein L6,CGI_10017767,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),228,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],EKC25781
K1RJG2,K1RJG2_CRAGI,unreviewed,Uncharacterized protein,CGI_10021630,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),576,,EKC41765
K1R7Q8,K1R7Q8_CRAGI,unreviewed,Transporter,CGI_10013503,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),733,integral component of membrane [GO:0016021]; neurotransmitter:sodium symporter activity [GO:0005328],EKC30006
K1QB97,K1QB97_CRAGI,unreviewed,TBC1 domain family member 25,CGI_10023356,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1100,sulfotransferase activity [GO:0008146],EKC26055
K1Q8U5,K1Q8U5_CRAGI,unreviewed,Heat shock protein STI1,CGI_10019672,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),996,,EKC25285
K1R2S3,K1R2S3_CRAGI,unreviewed,Sec1 family domain-containing protein 1,CGI_10010029,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),633,vesicle docking involved in exocytosis [GO:0006904],EKC40033
K1Q9S2,K1Q9S2_CRAGI,unreviewed,UPF0573 protein C2orf70-like protein A,CGI_10014660,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),153,,EKC18171
K1PWC8,K1PWC8_CRAGI,unreviewed,Uncharacterized protein,CGI_10008857,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),551,integral component of membrane [GO:0016021],EKC23329
K1Q045,K1Q045_CRAGI,unreviewed,Transmembrane BAX inhibitor motif-containing protein 4,CGI_10009236,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),235,integral component of membrane [GO:0016021],EKC24719
K1RV04,K1RV04_CRAGI,unreviewed,Tyramine beta-hydroxylase,CGI_10017108,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),567,"copper ion binding [GO:0005507]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen [GO:0016715]",EKC38551
K1PAM6,K1PAM6_CRAGI,unreviewed,Uncharacterized protein,CGI_10005248,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),946,,EKC20852
K1R2S6,K1R2S6_CRAGI,unreviewed,Guanine nucleotide-binding protein G(O) subunit alpha,CGI_10014759,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),354,G-protein beta/gamma-subunit complex binding [GO:0031683]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal transducer activity [GO:0004871]; adenylate cyclase-modulating G-protein coupled receptor signaling pathway [GO:0007188],EKC35460
K1PWQ0,K1PWQ0_CRAGI,unreviewed,Sorting nexin-24,CGI_10013035,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),183,phosphatidylinositol binding [GO:0035091],EKC26128
K1PVT1,K1PVT1_CRAGI,unreviewed,Voltage-dependent L-type calcium channel subunit beta-2,CGI_10027733,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),563,voltage-gated calcium channel complex [GO:0005891]; voltage-gated calcium channel activity [GO:0005245],EKC28452
K1Q1G2,K1Q1G2_CRAGI,unreviewed,Elongator complex protein 1,CGI_10014872,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1517,"Elongator holoenzyme complex [GO:0033588]; integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930]; regulation of transcription, DNA-templated [GO:0006355]; tRNA wobble uridine modification [GO:0002098]",EKC25194
K1QAE1,K1QAE1_CRAGI,unreviewed,Lipopolysaccharide-induced tumor necrosis factor-alpha factor-like protein,CGI_10017759,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),115,integral component of membrane [GO:0016021],EKC33607
K1R3E3,K1R3E3_CRAGI,unreviewed,Cleavage and polyadenylation specificity factor subunit 5,CGI_10023712,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),220,mRNA cleavage factor complex [GO:0005849]; hydrolase activity [GO:0016787]; mRNA binding [GO:0003729]; mRNA polyadenylation [GO:0006378],EKC40278
K1Q850,K1Q850_CRAGI,unreviewed,Whirlin,CGI_10006088,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),639,,EKC32957
K1QWX5,K1QWX5_CRAGI,unreviewed,Mitochondrial uncoupling protein 4,CGI_10020340,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),314,integral component of membrane [GO:0016021]; transport [GO:0006810],EKC35649
K1PDP2,K1PDP2_CRAGI,unreviewed,Protocadherin-9,CGI_10008008,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1002,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156],EKC19648
K1QEH5,K1QEH5_CRAGI,unreviewed,Smaug-like protein 1,CGI_10006768,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),696,"RNA binding [GO:0003723]; regulation of transcription, DNA-templated [GO:0006355]",EKC27200
K1PPP8,K1PPP8_CRAGI,unreviewed,Vigilin,CGI_10027157,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1246,RNA binding [GO:0003723],EKC26172
K1RG88,K1RG88_CRAGI,unreviewed,Activated RNA polymerase II transcriptional coactivator p15,CGI_10015925,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),124,"DNA binding [GO:0003677]; transcription coactivator activity [GO:0003713]; regulation of transcription, DNA-templated [GO:0006355]",EKC42799
K1QGW4,K1QGW4_CRAGI,unreviewed,Density-regulated protein,CGI_10019799,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),182,translation initiation factor activity [GO:0003743],EKC30384
K1PKA2,K1PKA2_CRAGI,unreviewed,Splicing factor 3A subunit 3,CGI_10008811,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),502,"spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; mRNA splicing, via spliceosome [GO:0000398]",EKC19324
K1PFH2,K1PFH2_CRAGI,unreviewed,Uncharacterized protein,CGI_10002011,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),121,,EKC22572
K1P392,K1P392_CRAGI,unreviewed,Activated CDC42 kinase 1,CGI_10014120,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),641,kinase activity [GO:0016301],EKC18247
K1Q4A5,K1Q4A5_CRAGI,unreviewed,Heat shock 70 kDa protein 12B,CGI_10002387,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),633,ATP binding [GO:0005524],EKC28703
K1QI98,K1QI98_CRAGI,unreviewed,Uncharacterized protein C19orf55-like protein,CGI_10004012,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1270,integral component of membrane [GO:0016021],EKC21376
K1Q604,K1Q604_CRAGI,unreviewed,Uncharacterized protein,CGI_10010433,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),804,integral component of membrane [GO:0016021],EKC29353
K1Q2C8,K1Q2C8_CRAGI,unreviewed,Serine/threonine-protein kinase PFTAIRE-1,CGI_10004779,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),599,ATP binding [GO:0005524]; heme binding [GO:0020037]; protein kinase activity [GO:0004672],EKC30537
K1Q8Y9,K1Q8Y9_CRAGI,unreviewed,Uncharacterized protein,CGI_10000144,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),303,ligand-dependent nuclear receptor transcription coactivator activity [GO:0030374],EKC17831
K1R2I9,K1R2I9_CRAGI,unreviewed,Ankyrin-3,CGI_10017318,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2387,,EKC27996
K1RBZ8,K1RBZ8_CRAGI,unreviewed,Armadillo repeat-containing protein 4,CGI_10020446,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),466,,EKC38770
K1QJS5,K1QJS5_CRAGI,unreviewed,U2 small nuclear ribonucleoprotein A,CGI_10025974,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),94,intracellular ribonucleoprotein complex [GO:0030529]; viral nucleocapsid [GO:0019013],EKC36992
K1QG49,K1QG49_CRAGI,unreviewed,Golgin subfamily A member 1,CGI_10024435,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),818,intracellular [GO:0005622]; protein targeting to Golgi [GO:0000042],EKC32873
K1QYF7,K1QYF7_CRAGI,unreviewed,Phosphotransferase (EC 2.7.1.-),CGI_10017042,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),505,cell [GO:0005623]; ATP binding [GO:0005524]; glucose binding [GO:0005536]; hexokinase activity [GO:0004396]; cellular glucose homeostasis [GO:0001678]; glycolytic process [GO:0006096],EKC36194
K1PP95,K1PP95_CRAGI,unreviewed,Peptidylglycine alpha-hydroxylating monooxygenase,CGI_10013889,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),302,"membrane [GO:0016020]; copper ion binding [GO:0005507]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen [GO:0016715]; peptide metabolic process [GO:0006518]",EKC18290
K1R113,K1R113_CRAGI,unreviewed,Ubiquitin-like modifier-activating enzyme 1 (Fragment),CGI_10010842,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),357,acid-amino acid ligase activity [GO:0016881]; small protein activating enzyme activity [GO:0008641],EKC43012
K1RS85,K1RS85_CRAGI,unreviewed,Switch-associated protein 70,CGI_10023252,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),716,,EKC37351
K1Q5I9,K1Q5I9_CRAGI,unreviewed,Uncharacterized protein,CGI_10024280,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),69,,EKC29158
