Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (GO),Ensembl_Genome_Transcript
K1QLT4,K1QLT4_CRAGI,unreviewed,"Dynein heavy chain 3, axonemal",CGI_10004785,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1957,ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018],EKC32024
K1Q5Z5,K1Q5Z5_CRAGI,unreviewed,Uncharacterized protein,CGI_10004788,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),388,,EKC32027
K1QDH9,K1QDH9_CRAGI,unreviewed,Myosin-11,CGI_10005788,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),255,myosin complex [GO:0016459]; actin binding [GO:0003779]; ATP binding [GO:0005524]; motor activity [GO:0003774],EKC32023
K1PR57,K1PR57_CRAGI,unreviewed,Uncharacterized protein,CGI_10026315,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),498,integral component of membrane [GO:0016021],EKC24073
K1PJE6,K1PJE6_CRAGI,unreviewed,HEAT repeat-containing protein 7A,CGI_10026314,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),626,,EKC24072
K1Q5B4,K1Q5B4_CRAGI,unreviewed,Uncharacterized protein,CGI_10026317,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),277,,EKC24075
K1PYE1,K1PYE1_CRAGI,unreviewed,Baculoviral IAP repeat-containing protein 2,CGI_10026316,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),361,transcription coactivator activity [GO:0003713]; ubiquitin-protein transferase activity [GO:0004842]; negative regulation of apoptotic process [GO:0043066]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; protein polyubiquitination [GO:0000209]; regulation of cell cycle [GO:0051726]; regulation of cell differentiation [GO:0045595]; regulation of inflammatory response [GO:0050727]; regulation of necroptotic process [GO:0060544]; regulation of toll-like receptor signaling pathway [GO:0034121],EKC24074
K1QUQ3,K1QUQ3_CRAGI,unreviewed,FGFR1 oncogene partner 2-like protein,CGI_10019688,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),233,,EKC25301
K1PMS2,K1PMS2_CRAGI,unreviewed,Ankyrin-1,CGI_10019689,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),830,,EKC25302
K1PUD0,K1PUD0_CRAGI,unreviewed,Myeloid differentiation primary response protein MyD88,CGI_10013672,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),354,signal transduction [GO:0007165],EKC25303
K1PLH9,K1PLH9_CRAGI,unreviewed,Uncharacterized protein,CGI_10021496,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),277,,EKC24897
K1PH04,K1PH04_CRAGI,unreviewed,Kelch-like ECH-associated protein 1,CGI_10014642,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),228,,EKC18154
K1PLN7,K1PLN7_CRAGI,unreviewed,Interferon-induced protein 44-like protein,CGI_10001869,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),469,GTP binding [GO:0005525],EKC22618
K1QCV7,K1QCV7_CRAGI,unreviewed,Multiple epidermal growth factor-like domains 8,CGI_10021714,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),900,integral component of membrane [GO:0016021],EKC34732
K1RWK6,K1RWK6_CRAGI,unreviewed,Multiple epidermal growth factor-like domains 10,CGI_10017036,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),710,integral component of membrane [GO:0016021],EKC39271
K1QFT1,K1QFT1_CRAGI,unreviewed,Proline-rich transmembrane protein 1,CGI_10006076,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),121,integral component of membrane [GO:0016021]; response to biotic stimulus [GO:0009607],EKC20401
K1RQ40,K1RQ40_CRAGI,unreviewed,Uncharacterized protein,CGI_10027020,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),301,,EKC36481
K1QYI0,K1QYI0_CRAGI,unreviewed,Serine/threonine-protein kinase SBK1,CGI_10024156,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),376,ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674],EKC36229
K1RI39,K1RI39_CRAGI,unreviewed,Tctex1 domain-containing protein 1,CGI_10020125,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),220,,EKC41215
K1R631,K1R631_CRAGI,unreviewed,Uncharacterized protein,CGI_10020123,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1521,integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930],EKC41213
K1RC45,K1RC45_CRAGI,unreviewed,Uncharacterized protein,CGI_10020129,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),475,,EKC41219
K1R961,K1R961_CRAGI,unreviewed,Uncharacterized protein,CGI_10027817,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),354,integral component of membrane [GO:0016021],EKC40174
K1RAG7,K1RAG7_CRAGI,unreviewed,Receptor-type tyrosine-protein phosphatase zeta,CGI_10021355,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),643,protein tyrosine phosphatase activity [GO:0004725],EKC42743
K1S5T7,K1S5T7_CRAGI,unreviewed,Uncharacterized protein,CGI_10021358,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),564,intracellular [GO:0005622]; zinc ion binding [GO:0008270],EKC42746
K1RG48,K1RG48_CRAGI,unreviewed,Uncharacterized protein,CGI_10021356,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),230,,EKC42744
K1PEZ6,K1PEZ6_CRAGI,unreviewed,Kyphoscoliosis peptidase,CGI_10002248,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),292,,EKC22452
K1QUU7,K1QUU7_CRAGI,unreviewed,Uncharacterized protein,CGI_10015314,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),136,,EKC40582
K1RAG5,K1RAG5_CRAGI,unreviewed,Uncharacterized protein,CGI_10015322,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),656,integral component of membrane [GO:0016021],EKC40589
K1QLV1,K1QLV1_CRAGI,unreviewed,"L-threonine 3-dehydrogenase, mitochondrial",CGI_10001936,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),359,catalytic activity [GO:0003824]; coenzyme binding [GO:0050662],EKC22591
K1QIQ6,K1QIQ6_CRAGI,unreviewed,Uncharacterized protein,CGI_10018075,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),425,,EKC28780
Q8TA69,Q8TA69_CRAGI,unreviewed,"Actin 2 (Actin, adductor muscle)",actin 2 CGI_10018876,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),376,ATP binding [GO:0005524],EKC31894
K1QHX1,K1QHX1_CRAGI,unreviewed,Nucleolar protein 8,CGI_10015697,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),512,,EKC36387
K1QEB1,K1QEB1_CRAGI,unreviewed,Uncharacterized protein C5orf4-like protein,CGI_10023824,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),544,integral component of membrane [GO:0016021]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; lipid biosynthetic process [GO:0008610],EKC29434
K1QIY3,K1QIY3_CRAGI,unreviewed,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8),CGI_10024975,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),121,peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457],EKC36742
K1RV33,K1RV33_CRAGI,unreviewed,"Alpha-(1,3)-fucosyltransferase 11",CGI_10025923,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),458,Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; fucosyltransferase activity [GO:0008417]; protein glycosylation [GO:0006486],EKC38571
K1RBI2,K1RBI2_CRAGI,unreviewed,E3 ubiquitin-protein ligase MARCH1,CGI_10025922,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),267,integral component of membrane [GO:0016021]; ligase activity [GO:0016874]; zinc ion binding [GO:0008270],EKC38570
K1QHX4,K1QHX4_CRAGI,unreviewed,Uncharacterized protein,CGI_10021666,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),367,,EKC30764
K1Q2W8,K1Q2W8_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10021670,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),577,intracellular [GO:0005622]; zinc ion binding [GO:0008270],EKC30767
K1Q9W3,K1Q9W3_CRAGI,unreviewed,SPRY domain-containing SOCS box protein 3,CGI_10021665,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),326,intracellular [GO:0005622]; intracellular signal transduction [GO:0035556],EKC30763
K1PB73,K1PB73_CRAGI,unreviewed,Ubiquitin carboxyl-terminal hydrolase 47,CGI_10004725,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1245,thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511],EKC21042
K1RGI2,K1RGI2_CRAGI,unreviewed,Protein toll,CGI_10022207,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),478,integral component of membrane [GO:0016021]; signal transduction [GO:0007165],EKC33231
K1QW98,K1QW98_CRAGI,unreviewed,Slit-like protein 1 protein,CGI_10022206,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),874,integral component of membrane [GO:0016021],EKC33230
K1Q7F3,K1Q7F3_CRAGI,unreviewed,Uncharacterized protein,CGI_10006778,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),611,,EKC27209
K1PVD7,K1PVD7_CRAGI,unreviewed,"Cytochrome c oxidase subunit 5A, mitochondrial",CGI_10015197,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),161,mitochondrial inner membrane [GO:0005743]; cytochrome-c oxidase activity [GO:0004129],EKC25698
K1Q2U2,K1Q2U2_CRAGI,unreviewed,Uncharacterized protein,CGI_10015198,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),156,integral component of membrane [GO:0016021],EKC25699
K1PZF5,K1PZF5_CRAGI,unreviewed,Uncharacterized protein,CGI_10003093,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),494,,EKC21955
K1QLY7,K1QLY7_CRAGI,unreviewed,Dual specificity protein phosphatase 12,CGI_10026177,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),316,protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138],EKC29845
K1QFE3,K1QFE3_CRAGI,unreviewed,Echinoderm microtubule-associated protein-like 6,CGI_10026183,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1960,,EKC29849
K1P7X2,K1P7X2_CRAGI,unreviewed,40S ribosomal protein S14 (Fragment),CGI_10000384,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),131,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],EKC17663
K1QBT8,K1QBT8_CRAGI,unreviewed,Uncharacterized protein,CGI_10023397,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),529,,EKC34297
K1QA29,K1QA29_CRAGI,unreviewed,Fucose-1-phosphate guanylyltransferase,CGI_10013659,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),509,nucleotidyltransferase activity [GO:0016779],EKC18326
K1PHF3,K1PHF3_CRAGI,unreviewed,Delta-like protein,CGI_10013656,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),590,integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell communication [GO:0007154]; multicellular organism development [GO:0007275],EKC18324
K1PPD4,K1PPD4_CRAGI,unreviewed,Copper-transporting ATPase 1,CGI_10013657,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1542,integral component of membrane [GO:0016021]; cation-transporting ATPase activity [GO:0019829]; copper ion binding [GO:0005507]; nucleotide binding [GO:0000166]; metal ion transport [GO:0030001],EKC18325
K1P3I7,K1P3I7_CRAGI,unreviewed,Protein ovo,CGI_10013654,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),374,"nucleus [GO:0005634]; nucleic acid binding [GO:0003676]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription, DNA-templated [GO:0006351]",EKC18322
K1PPD1,K1PPD1_CRAGI,unreviewed,Uncharacterized protein,CGI_10013652,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),786,nuclear speck [GO:0016607]; transcription coactivator activity [GO:0003713]; Notch signaling pathway [GO:0007219]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944],EKC18320
K1QMH4,K1QMH4_CRAGI,unreviewed,Uncharacterized protein,CGI_10022231,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),554,intracellular [GO:0005622]; zinc ion binding [GO:0008270],EKC32299
K1R6F1,K1R6F1_CRAGI,unreviewed,Proteasome subunit alpha type (EC 3.4.25.1),CGI_10025667,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),249,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; ubiquitin-dependent protein catabolic process [GO:0006511]",EKC41393
K1RCK5,K1RCK5_CRAGI,unreviewed,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",CGI_10025674,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),415,kinase activity [GO:0016301],EKC41399
K1R6F6,K1R6F6_CRAGI,unreviewed,Lysine-specific demethylase 2B,CGI_10025673,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1398,nucleus [GO:0005634]; DNA binding [GO:0003677]; iron ion binding [GO:0005506]; methyltransferase activity [GO:0008168]; zinc ion binding [GO:0008270],EKC41398
K1QJM8,K1QJM8_CRAGI,unreviewed,Collagen alpha-1(XII) chain,CGI_10019228,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),656,collagen trimer [GO:0005581],EKC31369
K1QBN7,K1QBN7_CRAGI,unreviewed,Uncharacterized protein,CGI_10019227,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),410,,EKC31368
K1QLN9,K1QLN9_CRAGI,unreviewed,Uncharacterized protein,CGI_10002067,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),771,,EKC22546
K1RZJ5,K1RZJ5_CRAGI,unreviewed,Alba-like protein C9orf23-like protein,CGI_10016071,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),724,"flavin adenine dinucleotide binding [GO:0050660]; nucleic acid binding [GO:0003676]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]",EKC40421
K1R3S0,K1R3S0_CRAGI,unreviewed,Tripartite motif-containing protein 3,CGI_10021303,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),575,intracellular [GO:0005622]; zinc ion binding [GO:0008270],EKC40423
K1PUW0,K1PUW0_CRAGI,unreviewed,Kanadaptin,CGI_10001406,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),832,"endoribonuclease activity, producing 5'-phosphomonoesters [GO:0016891]",EKC28087
K1Q2E2,K1Q2E2_CRAGI,unreviewed,Transmembrane 9 superfamily member,CGI_10003376,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),554,integral component of membrane [GO:0016021],EKC28088
K1RI23,K1RI23_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10026781,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),437,intracellular [GO:0005622]; zinc ion binding [GO:0008270],EKC41190
K1QJN6,K1QJN6_CRAGI,unreviewed,Angiopoietin-4,CGI_10003122,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),423,,EKC21906
K1PNS0,K1PNS0_CRAGI,unreviewed,Tripartite motif-containing protein 3,CGI_10015217,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),401,,EKC25717
K1QVW9,K1QVW9_CRAGI,unreviewed,Uncharacterized protein,CGI_10015216,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),410,intracellular [GO:0005622]; zinc ion binding [GO:0008270],EKC25716
K1Q2V5,K1Q2V5_CRAGI,unreviewed,Uncharacterized protein,CGI_10015214,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),546,intracellular [GO:0005622]; zinc ion binding [GO:0008270],EKC25714
K1PVF0,K1PVF0_CRAGI,unreviewed,Uncharacterized protein,CGI_10015213,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),266,intracellular [GO:0005622]; zinc ion binding [GO:0008270],EKC25713
K1PNR9,K1PNR9_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10015212,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),587,intracellular [GO:0005622]; zinc ion binding [GO:0008270],EKC25712
K1QA36,K1QA36_CRAGI,unreviewed,Protein BTG1,CGI_10015210,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),182,,EKC25710
K1PVH6,K1PVH6_CRAGI,unreviewed,Uncharacterized protein C3orf63-like protein,CGI_10006336,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),4411,,EKC20290
K1QGX2,K1QGX2_CRAGI,unreviewed,Uncharacterized protein,CGI_10005176,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),269,nucleic acid binding [GO:0003676],EKC20876
K1PQ85,K1PQ85_CRAGI,unreviewed,Vitrin,CGI_10016875,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),767,proteinaceous extracellular matrix [GO:0005578],EKC26432
K1QUZ6,K1QUZ6_CRAGI,unreviewed,Tripartite motif-containing protein 45,CGI_10003662,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),440,intracellular [GO:0005622]; zinc ion binding [GO:0008270],EKC25396
K1QIK0,K1QIK0_CRAGI,unreviewed,Fanconi anemia group M protein,CGI_10003839,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2327,ATP binding [GO:0005524]; DNA binding [GO:0003677]; nuclease activity [GO:0004518],EKC21486
K1QNE7,K1QNE7_CRAGI,unreviewed,Trafficking protein particle complex subunit 4,CGI_10022579,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),480,TRAPP complex [GO:0030008]; metalloendopeptidase activity [GO:0004222]; peptide hormone processing [GO:0016486]; transport [GO:0006810],EKC35448
K1QW74,K1QW74_CRAGI,unreviewed,Ankyrin-3,CGI_10022580,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),431,,EKC35449
K1QBV3,K1QBV3_CRAGI,unreviewed,Glycyl-tRNA synthetase,CGI_10023418,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1175,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; zinc ion binding [GO:0008270]; glycyl-tRNA aminoacylation [GO:0006426],EKC34317
K1QSW4,K1QSW4_CRAGI,unreviewed,Glucocorticoid-induced transcript 1 protein,CGI_10023420,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),429,,EKC34319
K1QK70,K1QK70_CRAGI,unreviewed,Uncharacterized protein,CGI_10002734,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),214,,EKC22121
K1QPM7,K1QPM7_CRAGI,unreviewed,Protein FAM59A,CGI_10003456,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),818,,EKC33044
K1RG40,K1RG40_CRAGI,unreviewed,Pleckstrin-like protein domain-containing family G member 1,CGI_10014852,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1829,Rho guanyl-nucleotide exchange factor activity [GO:0005089]; regulation of Rho protein signal transduction [GO:0035023],EKC33041
K1QGP8,K1QGP8_CRAGI,unreviewed,Atrial natriuretic peptide-converting enzyme,CGI_10012458,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2082,membrane [GO:0016020]; serine-type endopeptidase activity [GO:0004252],EKC33048
K1Q494,K1Q494_CRAGI,unreviewed,Uncharacterized protein,CGI_10007984,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),267,nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270],EKC23650
K1QQA4,K1QQA4_CRAGI,unreviewed,Uncharacterized protein,CGI_10007985,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1263,,EKC23651
D5FFX4,D5FFX4_CRAGI,unreviewed,40S ribosomal protein S26 (Fragment),,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),89,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],EKC23652
K1PI50,K1PI50_CRAGI,unreviewed,40S ribosomal protein S26,CGI_10007986,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),148,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],EKC23652
K1PPW8,K1PPW8_CRAGI,unreviewed,Coatomer subunit beta,CGI_10006442,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),743,membrane coat [GO:0030117]; structural molecule activity [GO:0005198]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192],EKC23653
K1PX68,K1PX68_CRAGI,unreviewed,Tyrosine-protein phosphatase non-receptor type 6,CGI_10006445,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1617,integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725],EKC23654
K1QEG1,K1QEG1_CRAGI,unreviewed,Apoptotic chromatin condensation inducer in the nucleus,CGI_10022251,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),970,integral component of membrane [GO:0016021]; RNA binding [GO:0003723],EKC32318
K1QTK4,K1QTK4_CRAGI,unreviewed,Uncharacterized protein,CGI_10022248,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),67,integral component of membrane [GO:0016021],EKC32315
K1R6U7,K1R6U7_CRAGI,unreviewed,Uncharacterized protein,CGI_10006605,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),368,cytoplasm [GO:0005737]; cysteine-type endopeptidase activity [GO:0004197]; apoptotic process [GO:0006915],EKC39279
K1R792,K1R792_CRAGI,unreviewed,"Succinate dehydrogenase assembly factor 1, mitochondrial",CGI_10022036,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),79,,EKC41633
K1RJ53,K1RJ53_CRAGI,unreviewed,Tetratricopeptide repeat protein 12,CGI_10022033,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),733,,EKC41630
K1S2S8,K1S2S8_CRAGI,unreviewed,Signal recognition particle 54 kDa protein,SRP54 CGI_10022034,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),504,"signal recognition particle, endoplasmic reticulum targeting [GO:0005786]; 7S RNA binding [GO:0008312]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]",EKC41631
K1RM01,K1RM01_CRAGI,unreviewed,Dystrophin,CGI_10026649,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2133,actin binding [GO:0003779]; dystroglycan binding [GO:0002162],EKC42585
K1S5H7,K1S5H7_CRAGI,unreviewed,Cell division cycle 5-related protein,CGI_10026645,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),796,DNA binding [GO:0003677]; cell division [GO:0051301],EKC42581
K1RA54,K1RA54_CRAGI,unreviewed,Ankyrin-3,CGI_10026647,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1393,,EKC42583
K1PLL5,K1PLL5_CRAGI,unreviewed,Nidogen-2,CGI_10007863,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),412,,EKC19704
K1RI18,K1RI18_CRAGI,unreviewed,Putative sodium-coupled neutral amino acid transporter 9,CGI_10026356,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),598,integral component of membrane [GO:0016021],EKC33866
K1QJA7,K1QJA7_CRAGI,unreviewed,Histone chaperone asf1-B,CGI_10026359,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),204,nucleus [GO:0005634]; chromatin assembly or disassembly [GO:0006333],EKC33868
K1PPN7,K1PPN7_CRAGI,unreviewed,Frizzled-7,CGI_10027131,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),568,integral component of membrane [GO:0016021]; Wnt-activated receptor activity [GO:0042813]; multicellular organism development [GO:0007275],EKC26147
