Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (GO),Ensembl_Genome_Transcript
K1RKC3,K1RKC3_CRAGI,unreviewed,"28S ribosomal protein S9, mitochondrial",CGI_10021718,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),339,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],EKC34736
K1QCV7,K1QCV7_CRAGI,unreviewed,Multiple epidermal growth factor-like domains 8,CGI_10021714,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),900,integral component of membrane [GO:0016021],EKC34732
K1PMS3,K1PMS3_CRAGI,unreviewed,Ficolin-1,CGI_10000212,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),188,,EKC17780
K1R6U7,K1R6U7_CRAGI,unreviewed,Uncharacterized protein,CGI_10006605,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),368,cytoplasm [GO:0005737]; cysteine-type endopeptidase activity [GO:0004197]; apoptotic process [GO:0006915],EKC39279
K1R015,K1R015_CRAGI,unreviewed,Two pore potassium channel protein sup-9,CGI_10006604,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),355,integral component of membrane [GO:0016021]; potassium channel activity [GO:0005267],EKC39278
K1RWK6,K1RWK6_CRAGI,unreviewed,Multiple epidermal growth factor-like domains 10,CGI_10017036,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),710,integral component of membrane [GO:0016021],EKC39271
K1QQM7,K1QQM7_CRAGI,unreviewed,Two pore potassium channel protein sup-9,CGI_10006603,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),353,integral component of membrane [GO:0016021]; potassium channel activity [GO:0005267],EKC39277
K1RWK9,K1RWK9_CRAGI,unreviewed,Two pore potassium channel protein sup-9,CGI_10006602,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),202,integral component of membrane [GO:0016021],EKC39276
K1QZ64,K1QZ64_CRAGI,unreviewed,Nuclear pore complex protein Nup98-Nup96,CGI_10014712,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1686,nuclear pore [GO:0005643]; transport [GO:0006810],EKC34085
K1RIS2,K1RIS2_CRAGI,unreviewed,3-oxoacyl-[acyl-carrier-protein] reductase,CGI_10014714,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),259,oxidoreductase activity [GO:0016491],EKC34086
K1PFJ1,K1PFJ1_CRAGI,unreviewed,Uncharacterized protein,CGI_10001882,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),198,,EKC22612
K1QQX1,K1QQX1_CRAGI,unreviewed,Tripartite motif-containing protein 45,CGI_10007502,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),583,intracellular [GO:0005622]; zinc ion binding [GO:0008270],EKC31280
K1Q3Z4,K1Q3Z4_CRAGI,unreviewed,Bromodomain and WD repeat-containing protein 2,CGI_10007504,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),629,,EKC31282
K1QM51,K1QM51_CRAGI,unreviewed,Cytochrome P450 2D28,CGI_10001636,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),419,"integral component of membrane [GO:0016021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",EKC22716
K1QFT1,K1QFT1_CRAGI,unreviewed,Proline-rich transmembrane protein 1,CGI_10006076,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),121,integral component of membrane [GO:0016021]; response to biotic stimulus [GO:0009607],EKC20401
K1Q1L9,K1Q1L9_CRAGI,unreviewed,Interferon-induced protein 44-like protein,CGI_10001635,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),376,GTP binding [GO:0005525],EKC22715
K1R9F7,K1R9F7_CRAGI,unreviewed,Progesterone-induced-blocking factor 1,CGI_10017259,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),696,,EKC30581
K1P7F9,K1P7F9_CRAGI,unreviewed,Endothelin-converting enzyme 1,CGI_10000696,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),431,integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]; neuropeptide signaling pathway [GO:0007218],EKC17498
K1PQX6,K1PQX6_CRAGI,unreviewed,Uncharacterized protein,CGI_10004237,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),507,integral component of membrane [GO:0016021],EKC21244
K1Q1L4,K1Q1L4_CRAGI,unreviewed,Uncharacterized protein,CGI_10001640,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),138,response to stress [GO:0006950],EKC22710
K1QP21,K1QP21_CRAGI,unreviewed,Ferredoxin-fold anticodon-binding domain-containing protein 1,CGI_10010982,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),543,,EKC23301
K1P0H0,K1P0H0_CRAGI,unreviewed,Aspartyl/asparaginyl beta-hydroxylase,CGI_10001813,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),577,integral component of membrane [GO:0016021]; peptidyl-amino acid modification [GO:0018193],EKC17192
K1Q6E2,K1Q6E2_CRAGI,unreviewed,PDZ and LIM domain protein 1,CGI_10025486,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),111,,EKC29478
K1QMP3,K1QMP3_CRAGI,unreviewed,Ligand of Numb protein X 2,CGI_10009129,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),535,zinc ion binding [GO:0008270],EKC30105
K1S5Y6,K1S5Y6_CRAGI,unreviewed,Uncharacterized protein,CGI_10015938,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),451,,EKC42811
K1S1Q4,K1S1Q4_CRAGI,unreviewed,Terminal uridylyltransferase 4,CGI_10020126,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1168,nucleic acid binding [GO:0003676]; nucleotidyltransferase activity [GO:0016779]; zinc ion binding [GO:0008270],EKC41216
K1QWF6,K1QWF6_CRAGI,unreviewed,RNA exonuclease 1-like protein,CGI_10020127,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1130,exonuclease activity [GO:0004527]; nucleic acid binding [GO:0003676],EKC41217
K1RI37,K1RI37_CRAGI,unreviewed,Transcription factor AP-1,CGI_10006579,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),414,"nucleus [GO:0005634]; DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription from RNA polymerase II promoter [GO:0006357]",EKC41210
K1S1Q1,K1S1Q1_CRAGI,unreviewed,MutS-like protein 5,CGI_10006580,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),716,ATP binding [GO:0005524]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298],EKC41211
K1R631,K1R631_CRAGI,unreviewed,Uncharacterized protein,CGI_10020123,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1521,integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930],EKC41213
K1R634,K1R634_CRAGI,unreviewed,Chaperone protein dnaJ,CGI_10020128,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),709,,EKC41218
K1RC45,K1RC45_CRAGI,unreviewed,Uncharacterized protein,CGI_10020129,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),475,,EKC41219
K1QAW8,K1QAW8_CRAGI,unreviewed,BET1-like protein,CGI_10016887,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),112,integral component of membrane [GO:0016021],EKC31043
K1QQC7,K1QQC7_CRAGI,unreviewed,Voltage-gated hydrogen channel 1,CGI_10016884,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),431,integral component of membrane [GO:0016021],EKC31040
K1PU01,K1PU01_CRAGI,unreviewed,Eukaryotic translation initiation factor 3 subunit A (Fragment),CGI_10008482,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),526,translation initiation factor activity [GO:0003743],EKC25123
K1RG52,K1RG52_CRAGI,unreviewed,"Glycine dehydrogenase [decarboxylating], mitochondrial",CGI_10021361,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1243,glycine dehydrogenase (decarboxylating) activity [GO:0004375]; lyase activity [GO:0016829]; glycine catabolic process [GO:0006546],EKC42749
K1RAG7,K1RAG7_CRAGI,unreviewed,Receptor-type tyrosine-protein phosphatase zeta,CGI_10021355,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),643,protein tyrosine phosphatase activity [GO:0004725],EKC42743
