Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (GO)
K1RGG7,K1RGG7_CRAGI,unreviewed,ATP-dependent DNA helicase Q4,CGI_10017389,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),883,ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]
K1P3A0,K1P3A0_CRAGI,unreviewed,Uncharacterized protein,CGI_10014125,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1624,
K1S0Y0,K1S0Y0_CRAGI,unreviewed,Major facilitator superfamily domain-containing protein 4,CGI_10028612,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),515,integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]
K1RB61,K1RB61_CRAGI,unreviewed,Sodium-dependent glucose transporter 1,CGI_10028615,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),484,integral component of membrane [GO:0016021]; carbohydrate transport [GO:0008643]; transmembrane transport [GO:0055085]
K1PGT4,K1PGT4_CRAGI,unreviewed,Uncharacterized protein,CGI_10005283,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),238,
K1RH87,K1RH87_CRAGI,unreviewed,LWamide neuropeptide,CGI_10022324,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),734,integral component of membrane [GO:0016021]; proteinaceous extracellular matrix [GO:0005578]; extracellular matrix structural constituent [GO:0005201]; neuropeptide signaling pathway [GO:0007218]
K1R1I9,K1R1I9_CRAGI,unreviewed,"Neuroligin-4, Y-linked",CGI_10022322,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1321,hydrolase activity [GO:0016787]; signal transduction [GO:0007165]
K1QAW5,K1QAW5_CRAGI,unreviewed,"Neuroligin-4, X-linked",CGI_10011612,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),861,integral component of membrane [GO:0016021]
K1QZQ0,K1QZQ0_CRAGI,unreviewed,Fibrocystin-L (Fragment),CGI_10015971,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),3281,
K1QHY0,K1QHY0_CRAGI,unreviewed,Actin-3,CGI_10021673,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),377,ATP binding [GO:0005524]
K1PS72,K1PS72_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10003409,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),600,intracellular [GO:0005622]; zinc ion binding [GO:0008270]
K1Q496,K1Q496_CRAGI,unreviewed,Spermatogenesis-associated protein 5-like protein 1,CGI_10019238,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),686,ATP binding [GO:0005524]
K1PUK9,K1PUK9_CRAGI,unreviewed,Protein mab-21,CGI_10009938,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),741,
K1PME4,K1PME4_CRAGI,unreviewed,Uncharacterized protein,CGI_10007115,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),327,
K1PGW6,K1PGW6_CRAGI,unreviewed,"Alpha-(1,3)-fucosyltransferase 10",CGI_10015586,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),526,Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; fucosyltransferase activity [GO:0008417]; protein glycosylation [GO:0006486]
K1S5W9,K1S5W9_CRAGI,unreviewed,Heparan-alpha-glucosaminide N-acetyltransferase (Fragment),CGI_10010344,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),549,integral component of membrane [GO:0016021]; transferase activity [GO:0016740]
K1QZX5,K1QZX5_CRAGI,unreviewed,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",CGI_10026669,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),515,integral component of membrane [GO:0016021]; acetylglucosaminyltransferase activity [GO:0008375]
K1QE79,K1QE79_CRAGI,unreviewed,Uncharacterized protein,CGI_10007445,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),405,
K1QUL5,K1QUL5_CRAGI,unreviewed,ATR-interacting protein,CGI_10014289,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1230,DNA damage checkpoint [GO:0000077]
K1QHR9,K1QHR9_CRAGI,unreviewed,Uncharacterized protein,CGI_10004484,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),121,
K1R093,K1R093_CRAGI,unreviewed,Uncharacterized protein,CGI_10027070,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),472,
K1PJX3,K1PJX3_CRAGI,unreviewed,Uncharacterized protein,CGI_10009441,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1059,
K1PZ51,K1PZ51_CRAGI,unreviewed,Uncharacterized protein,CGI_10003222,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),544,calcium ion binding [GO:0005509]
K1QHG3,K1QHG3_CRAGI,unreviewed,Uncharacterized protein,CGI_10004691,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),518,
K1QPQ5,K1QPQ5_CRAGI,unreviewed,Uncharacterized protein,CGI_10013901,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),934,
K1QI30,K1QI30_CRAGI,unreviewed,Zinc finger and SCAN domain-containing protein 22,CGI_10011501,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),302,nucleic acid binding [GO:0003676]
K1QXC0,K1QXC0_CRAGI,unreviewed,Exonuclease 3'-5' domain-containing protein 1,CGI_10021786,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1024,3'-5' exonuclease activity [GO:0008408]; nucleic acid binding [GO:0003676]
K1R631,K1R631_CRAGI,unreviewed,Uncharacterized protein,CGI_10020123,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1521,integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930]
K1QGT7,K1QGT7_CRAGI,unreviewed,Caspase-3,CGI_10018748 CGI_10021828,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),307,cysteine-type endopeptidase activity [GO:0004197]
K1QPJ7,K1QPJ7_CRAGI,unreviewed,Uncharacterized protein,CGI_10011010,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),610,
K1RWK1,K1RWK1_CRAGI,unreviewed,Protein bicaudal C,CGI_10017029,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),591,
K1QZT9,K1QZT9_CRAGI,unreviewed,Heat shock 70 kDa protein 12B,CGI_10024937,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),324,
K1R6M2,K1R6M2_CRAGI,unreviewed,Uncharacterized protein,CGI_10027370,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),748,
K1PY47,K1PY47_CRAGI,unreviewed,Uncharacterized protein,CGI_10003874,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1353,
K1QYK9,K1QYK9_CRAGI,unreviewed,Hexosyltransferase (EC 2.4.1.-),CGI_10026593,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),367,Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; galactosyltransferase activity [GO:0008378]; protein glycosylation [GO:0006486]
K1PWP6,K1PWP6_CRAGI,unreviewed,Ca(2+)/calmodulin-responsive adenylate cyclase,CGI_10010256,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1334,integral component of membrane [GO:0016021]; intracellular [GO:0005622]; nucleotide binding [GO:0000166]; phosphorus-oxygen lyase activity [GO:0016849]; cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]
K1PF23,K1PF23_CRAGI,unreviewed,GDNF-inducible zinc finger protein 1,CGI_10006550,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),817,nucleic acid binding [GO:0003676]
K1QG33,K1QG33_CRAGI,unreviewed,Acetylcholine receptor subunit alpha-like protein,CGI_10012299,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),503,cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; acetylcholine-gated cation-selective channel activity [GO:0022848]
K1Q8W5,K1Q8W5_CRAGI,unreviewed,Acetylcholine receptor subunit alpha-like 1,CGI_10012298,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),505,cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; acetylcholine-gated cation-selective channel activity [GO:0022848]
K1QGY4,K1QGY4_CRAGI,unreviewed,Arrestin domain-containing protein 3,CGI_10003649,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),440,
K1PHY3,K1PHY3_CRAGI,unreviewed,Amiloride-sensitive cation channel 4-B,CGI_10012120,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),678,integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]
K1QL61,K1QL61_CRAGI,unreviewed,Uncharacterized protein,CGI_10013983,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),367,
K1PJ99,K1PJ99_CRAGI,unreviewed,Uncharacterized protein,CGI_10026286,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1139,DNA binding [GO:0003677]
K1RWG2,K1RWG2_CRAGI,unreviewed,Proton-coupled amino acid transporter 4,CGI_10012622,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),528,integral component of membrane [GO:0016021]
K1P935,K1P935_CRAGI,unreviewed,Putative ubiquitin carboxyl-terminal hydrolase CYLD,CGI_10017708,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),424,intracellular [GO:0005622]; hydrolase activity [GO:0016787]; apoptotic process [GO:0006915]
K1R4Q9,K1R4Q9_CRAGI,unreviewed,Sodium/glucose cotransporter 4,CGI_10020247,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),552,integral component of membrane [GO:0016021]; transporter activity [GO:0005215]; transmembrane transport [GO:0055085]
K1QA83,K1QA83_CRAGI,unreviewed,Uncharacterized protein,CGI_10012394,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),952,
K1PG14,K1PG14_CRAGI,unreviewed,Voltage-gated hydrogen channel 1,CGI_10001369,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),844,
K1PR24,K1PR24_CRAGI,unreviewed,Uncharacterized protein,CGI_10028270,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),471,
K1S0T7,K1S0T7_CRAGI,unreviewed,Uncharacterized protein,CGI_10026544,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),685,
K1R1W0,K1R1W0_CRAGI,unreviewed,High-affinity choline transporter 1,CGI_10018114,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),584,integral component of membrane [GO:0016021]; transporter activity [GO:0005215]; transmembrane transport [GO:0055085]
K1QL31,K1QL31_CRAGI,unreviewed,cGMP-dependent protein kinase (EC 2.7.11.12),CGI_10018112,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),760,ATP binding [GO:0005524]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]
K1R824,K1R824_CRAGI,unreviewed,Potassium voltage-gated channel subfamily D member 1,CGI_10023257,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),410,voltage-gated potassium channel complex [GO:0008076]; voltage-gated potassium channel activity [GO:0005249]; protein homooligomerization [GO:0051260]
K1RDJ9,K1RDJ9_CRAGI,unreviewed,Sphingosine 1-phosphate receptor 1,CGI_10022192,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),541,integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930]
K1PWC5,K1PWC5_CRAGI,unreviewed,Uncharacterized protein,CGI_10010669,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),282,
K1QKA1,K1QKA1_CRAGI,unreviewed,Hairy/enhancer-of-split related with YRPW motif protein 1,CGI_10018323,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),300,"nucleus [GO:0005634]; DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"
K1RU05,K1RU05_CRAGI,unreviewed,Uncharacterized protein,CGI_10022738,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),602,regulation of apoptotic process [GO:0042981]
K1QNE9,K1QNE9_CRAGI,unreviewed,Uncharacterized protein,CGI_10019812,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),231,single-stranded DNA binding [GO:0003697]
K1PGG5,K1PGG5_CRAGI,unreviewed,Uncharacterized protein,CGI_10005602,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),245,integral component of membrane [GO:0016021]
K1S0A7,K1S0A7_CRAGI,unreviewed,Deleted in malignant brain tumors 1 protein,CGI_10020579,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2454,membrane [GO:0016020]; hydrolase activity [GO:0016787]; scavenger receptor activity [GO:0005044]
K1RAM9,K1RAM9_CRAGI,unreviewed,Uncharacterized protein,CGI_10020577,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),274,
K1R0V8,K1R0V8_CRAGI,unreviewed,Acetylcholine receptor subunit alpha-type acr-16,CGI_10027928,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),404,cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; acetylcholine-gated cation-selective channel activity [GO:0022848]
K1PCL8,K1PCL8_CRAGI,unreviewed,Protocadherin Fat 4,CGI_10003734,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1443,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
K1QAT5,K1QAT5_CRAGI,unreviewed,"Rhodopsin, GQ-coupled",CGI_10011747,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),508,integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930]
K1QR29,K1QR29_CRAGI,unreviewed,Tripartite motif-containing protein 71,CGI_10019207,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),708,intracellular [GO:0005622]; miRNA binding [GO:0035198]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; miRNA mediated inhibition of translation [GO:0035278]
K1QXU3,K1QXU3_CRAGI,unreviewed,Thyrotropin-releasing hormone receptor,CGI_10023294,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),268,integral component of membrane [GO:0016021]; thyrotropin-releasing hormone receptor activity [GO:0004997]
K1R7U9,K1R7U9_CRAGI,unreviewed,Multiple epidermal growth factor-like domains 10,CGI_10021200,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),372,integral component of membrane [GO:0016021]
K1R2I8,K1R2I8_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10023515,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),807,
K1QQX4,K1QQX4_CRAGI,unreviewed,Uncharacterized protein,CGI_10015995,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),237,
K1QYP4,K1QYP4_CRAGI,unreviewed,Guanylate cyclase soluble subunit alpha-2,CGI_10025258,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),774,intracellular [GO:0005622]; guanylate cyclase activity [GO:0004383]; heme binding [GO:0020037]; nucleotide binding [GO:0000166]; intracellular signal transduction [GO:0035556]
K1RIA1,K1RIA1_CRAGI,unreviewed,Potassium voltage-gated channel protein Shab,CGI_10021525,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),461,voltage-gated potassium channel complex [GO:0008076]; voltage-gated potassium channel activity [GO:0005249]; protein homooligomerization [GO:0051260]
K1QWP3,K1QWP3_CRAGI,unreviewed,Small conductance calcium-activated potassium channel protein,CGI_10011874,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),509,voltage-gated potassium channel complex [GO:0008076]; calmodulin binding [GO:0005516]; small conductance calcium-activated potassium channel activity [GO:0016286]; voltage-gated potassium channel activity [GO:0005249]
K1QHD2,K1QHD2_CRAGI,unreviewed,Exonuclease domain-containing protein 1 (Fragment),CGI_10024144,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),590,exonuclease activity [GO:0004527]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
K1QQ64,K1QQ64_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10011933,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),703,
K1QXF7,K1QXF7_CRAGI,unreviewed,Polycystic kidney disease protein 1-like 2,CGI_10021756,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1565,integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]
K1R4D2,K1R4D2_CRAGI,unreviewed,Polycystic kidney disease protein 1-like 2,CGI_10021757,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2087,integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]
K1QDZ2,K1QDZ2_CRAGI,unreviewed,Neuronal acetylcholine receptor subunit alpha-7,CGI_10014613,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),508,cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; acetylcholine-gated cation-selective channel activity [GO:0022848]
K1QVZ4,K1QVZ4_CRAGI,unreviewed,Transcription factor collier,CGI_10023990,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),539,"nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; multicellular organism development [GO:0007275]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"
K1QVZ8,K1QVZ8_CRAGI,unreviewed,Atrial natriuretic peptide clearance receptor,CGI_10023996,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),447,integral component of membrane [GO:0016021]; G-protein coupled GABA receptor activity [GO:0004965]
K1QK45,K1QK45_CRAGI,unreviewed,Uncharacterized protein,CGI_10008927,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),286,integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930]
K1R0N8,K1R0N8_CRAGI,unreviewed,Flap endonuclease GEN-like protein 1,CGI_10023203,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),955,DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA repair [GO:0006281]
K1RBG8,K1RBG8_CRAGI,unreviewed,Alpha-1A adrenergic receptor,CGI_10025308,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),329,integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930]
K1PND2,K1PND2_CRAGI,unreviewed,"Amiloride-sensitive cation channel 2-A, neuronal",CGI_10015566,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),448,integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]
K1PE70,K1PE70_CRAGI,unreviewed,Peptidylprolyl isomerase-like 5,CGI_10002664,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),421,isomerase activity [GO:0016853]
K1PYP2,K1PYP2_CRAGI,unreviewed,Trace amine-associated receptor 5,CGI_10010437,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),410,integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930]
K1QFX6,K1QFX6_CRAGI,unreviewed,Malignant fibrous histiocytoma-amplified sequence 1,CGI_10018655,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),290,
K1R3D9,K1R3D9_CRAGI,unreviewed,Uncharacterized protein,CGI_10023707,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1146,
K1Q749,K1Q749_CRAGI,unreviewed,Vesicular glutamate transporter 3,CGI_10001270,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),453,integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]
K1QF71,K1QF71_CRAGI,unreviewed,Potassium voltage-gated channel protein Shaw,CGI_10006678,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),464,voltage-gated potassium channel complex [GO:0008076]; voltage-gated potassium channel activity [GO:0005249]; protein homooligomerization [GO:0051260]
K1Q7S5,K1Q7S5_CRAGI,unreviewed,Uncharacterized protein,CGI_10021494,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),824,
K1QAP2,K1QAP2_CRAGI,unreviewed,Cyclic nucleotide-gated olfactory channel,CGI_10011566,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),717,integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]
K1QH91,K1QH91_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10018374,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),746,intracellular [GO:0005622]; zinc ion binding [GO:0008270]
K1PV14,K1PV14_CRAGI,unreviewed,Uncharacterized protein,CGI_10018371,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),672,
K1R4Q1,K1R4Q1_CRAGI,unreviewed,Uncharacterized protein,CGI_10021230,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),775,
K1PYH9,K1PYH9_CRAGI,unreviewed,Aminopeptidase (EC 3.4.11.-),CGI_10018465,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1011,endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; metalloaminopeptidase activity [GO:0070006]; zinc ion binding [GO:0008270]; antigen processing and presentation of endogenous peptide antigen via MHC class I [GO:0019885]; regulation of blood pressure [GO:0008217]
K1RU09,K1RU09_CRAGI,unreviewed,Prestin,CGI_10022750,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),684,integral component of membrane [GO:0016021]; secondary active sulfate transmembrane transporter activity [GO:0008271]
K1PMZ7,K1PMZ7_CRAGI,unreviewed,L-Fucosyltransferase (EC 2.4.1.-),CGI_10006470,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),336,Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; galactoside 2-alpha-L-fucosyltransferase activity [GO:0008107]; carbohydrate metabolic process [GO:0005975]; protein glycosylation [GO:0006486]
K1S0M8,K1S0M8_CRAGI,unreviewed,Toll-like receptor 2,CGI_10026493,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),427,signal transduction [GO:0007165]
K1PGI1,K1PGI1_CRAGI,unreviewed,Sterile alpha and TIR motif-containing protein 1,CGI_10016757,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),494,
K1PND0,K1PND0_CRAGI,unreviewed,Uncharacterized protein,CGI_10016758,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),513,metallopeptidase activity [GO:0008237]
K1PE37,K1PE37_CRAGI,unreviewed,Glycine receptor subunit alpha-1,CGI_10007460,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),436,cell junction [GO:0030054]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; synapse [GO:0045202]; extracellular ligand-gated ion channel activity [GO:0005230]
K1QAP0,K1QAP0_CRAGI,unreviewed,Alpha-mannosidase (EC 3.2.1.-),CGI_10024992,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1055,alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; mannose metabolic process [GO:0006013]
K1QWI8,K1QWI8_CRAGI,unreviewed,Uncharacterized protein,CGI_10003360,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),362,
K1Q9F9,K1Q9F9_CRAGI,unreviewed,Transmembrane 6 superfamily member 2,CGI_10000360,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),327,integral component of membrane [GO:0016021]
K1QJC8,K1QJC8_CRAGI,unreviewed,Bardet-Biedl syndrome 5-like protein,CGI_10027052,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),116,BBSome [GO:0034464]
K1PY12,K1PY12_CRAGI,unreviewed,TWiK family of potassium channels protein 7,CGI_10019735,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),530,integral component of membrane [GO:0016021]; potassium channel activity [GO:0005267]
K1R874,K1R874_CRAGI,unreviewed,Kyphoscoliosis peptidase,CGI_10021991,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),606,
K1R8L6,K1R8L6_CRAGI,unreviewed,Molybdenum cofactor sulfurase,CGI_10025238,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),435,catalytic activity [GO:0003824]
K1RW41,K1RW41_CRAGI,unreviewed,Uncharacterized protein,CGI_10018526,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),435,
K1QJT7,K1QJT7_CRAGI,unreviewed,Protein ovo,CGI_10003042,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),705,"nucleus [GO:0005634]; nucleic acid binding [GO:0003676]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription, DNA-templated [GO:0006351]"
K1QGG2,K1QGG2_CRAGI,unreviewed,Tripartite motif-containing protein 46,CGI_10011352,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),552,intracellular [GO:0005622]; zinc ion binding [GO:0008270]
K1RN53,K1RN53_CRAGI,unreviewed,Cyclic nucleotide-gated cation channel alpha-3,CGI_10019102,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),485,integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]
K1R8Z3,K1R8Z3_CRAGI,unreviewed,Transporter,CGI_10026098,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),628,integral component of membrane [GO:0016021]; neurotransmitter:sodium symporter activity [GO:0005328]
K1R7L1,K1R7L1_CRAGI,unreviewed,SET and MYND domain-containing protein 5,CGI_10010761,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),766,
